Dataset,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,12,11,0.989,1.000,0.870,0.917,1.000,0.957
Apache,29,29,1.000,0.998,1.000,0.862,0.862,0.862
OpenSSH,40,38,0.780,0.722,0.923,0.900,0.947,0.923
HDFS,47,46,1.000,1.000,0.968,0.957,0.978,0.968
OpenStack,48,48,1.000,0.952,1.000,0.875,0.875,0.875
HPC,95,74,0.864,0.990,0.828,0.726,0.932,0.817
Zookeeper,76,89,0.993,0.851,0.885,0.868,0.742,0.800
HealthApp,157,156,1.000,0.963,0.971,0.847,0.853,0.850
Hadoop,247,236,0.941,0.840,0.928,0.672,0.703,0.687
Spark,255,236,0.974,0.996,0.880,0.631,0.682,0.656
BGL,347,320,0.957,0.968,0.885,0.775,0.841,0.807
Linux,365,338,0.831,0.741,0.862,0.693,0.749,0.720
Mac,660,626,0.882,0.605,0.869,0.536,0.565,0.551
Thunderbird,1359,1241,0.867,0.639,0.878,0.567,0.621,0.593
