Dataset,invacation_time,parsing_time,invocation,token_consumption,GA,PA,FGA,FTA,ED
Proxifier,12.943,15.87,11.0,5431.0,0.676,0.676,0.727,0.727,0.926
Linux,258.087,265.395,378.0,76800.0,0.946,0.906,0.905,0.679,0.983
Apache,19.869,21.961,32.0,7070.0,0.997,0.99,0.921,0.698,0.998
Zookeeper,54.328,58.691,86.0,21969.0,0.99,0.825,0.914,0.823,0.991
Mac,610.216,642.379,687.0,220467.0,0.856,0.52,0.863,0.491,0.911
Hadoop,905.777,914.282,277.0,79697.0,0.923,0.634,0.862,0.651,0.914
OpenStack,33.073,39.996,46.0,23641.0,0.524,0.447,0.957,0.681,0.849
HealthApp,97.534,100.29,154.0,35016.0,0.998,0.976,0.935,0.806,0.995
HPC,62.335,79.18,87.0,21777.0,0.861,0.985,0.901,0.861,0.994
OpenSSH,71.737,76.615,43.0,11320.0,0.726,0.925,0.84,0.765,0.994
BGL,276.032,429.339,350.0,91682.0,0.941,0.881,0.817,0.689,0.984
HDFS,39.673,96.763,47.0,18216.0,1.0,0.999,1.0,0.913,1.0
Spark,216.147,286.499,287.0,77456.0,0.943,0.715,0.788,0.593,0.988
Thunderbird,10170.113,10375.591,1394.0,352875.0,0.75,0.556,0.813,0.525,0.919
Average,916.276,957.346,277.071,74529.786,0.866,0.788,0.874,0.707,0.96
